Order Qty
" 4,338  4,598  4,268  3,453 "
" 3,530  3,288  3,999  3,862  3,258 "
" 4,228  3,530  4,227  2,990 "
" 3,493  4,838  3,560  4,329 "
" 4,937  4,361  4,569  4,301  5,106 "
" 4,702  4,031  4,338  4,495 "
" 4,174  4,882  4,099  4,059 "
" 4,212  6,055  5,042  3,806  4,470 "
" 4,799  4,366  4,765  5,134 "
" 4,802  5,394  5,205  5,253 "
" 5,281  5,168  5,038  4,650  5,914 "
" 5,835  5,542  5,355  5,038 "
" 3,600  3,234  2,623  1,902 "
" 2,567  2,056  3,295  2,569  2,623 "
" 2,897  2,868  3,205  1,470 "
" 2,842  3,750  2,293  3,295 "
" 4,132  3,325  3,508  3,558  4,294 "
" 3,319  3,024  2,688  3,448 "
" 2,843  4,081  3,390  2,438 "
" 2,588  5,147  4,232  2,819  2,809 "
" 3,712  3,318  3,689  3,406 "
" 3,714  3,944  3,778  4,415 "
" 4,453  4,044  4,232  2,982  4,112 "
" 4,945  3,776  4,522  3,924 "
