Year-Month,Product Id,Order Qty
2014-08,1,28016.0
2014-08,2,42959.0
2014-08,3,18299.0
2014-09,1,31047.0
2014-09,2,55187.0
2014-09,3,21981.0
2014-10,1,25415.0
2014-10,2,41540.0
2014-10,3,17775.0
2014-11,1,28400.0
2014-11,2,45573.0
2014-11,3,16240.0
2014-12,1,42091.0
2014-12,2,58641.0
2014-12,3,22268.0
2015-01,1,30045.0
2015-01,2,39027.0
2015-01,3,16264.0
2015-02,1,29966.0
2015-02,2,42512.0
2015-02,3,19007.0
2015-03,1,41180.0
2015-03,2,57104.0
2015-03,3,24472.0
2015-04,1,33189.0
2015-04,2,52070.0
2015-04,3,19421.0
2015-05,1,36505.0
2015-05,2,52152.0
2015-05,3,21309.0
2015-06,1,45874.0
2015-06,2,63975.0
2015-06,3,25898.0
2015-07,1,38937.0
2015-07,2,53726.0
2015-07,3,21723.0
